step,x,y,steer,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
31,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.00039417264666734866,180.65013131065888
32,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0002854156482597742,180.65013131065888
33,-64.64215850830078,24.47072410583496,-0.22058029485591932,0.03377507560605188,0.015870243310928334,0,3,0.26482297660480486,180.64758376286505
34,-64.6081314086914,24.467262268066406,-0.21675315924297037,0.05211670736124587,0.1761348061263561,0,3,0.9077005715565688,180.61537575991832
35,-64.54850769042969,24.460643768310547,-0.20972335295286876,0.1056706333779403,0.46452592313289637,0,3,1.3584904560594502,180.55870359981307
36,-64.47367858886719,24.452106475830078,-0.2013408366482946,0.17883076561614175,0.8072993606328964,0,3,1.616137535487682,180.48748242564554
37,-64.38933563232422,24.44215202331543,-0.19266465602280033,0.26283439560901495,1.1608759015798569,0,3,1.7553515240645536,180.4070672984
38,-64.29843139648438,24.431196212768555,-0.18355896654796888,0.35391443414694096,1.530382975935936,0,3,1.8888984336560026,180.32030334141086
39,-64.20332336425781,24.419458389282227,-0.1745946090337404,0.4494680975348726,1.8928705304861067,0,3,1.9407920768761375,180.22941350939033
40,-64.10444641113281,24.407161712646484,-0.2622777107199842,0.5489269499399888,2.2615229934453964,0,4,2.033114483394619,180.1348869601461
41,-64.003662109375,24.392229080200195,-0.2518441221642794,0.6507702095125897,2.714556440711021,0,4,2.051573840622305,180.03750856625877
42,-63.90088653564453,24.374479293823242,-0.23867725400151185,0.7550670323064171,3.2567319720983505,0,4,2.124589051952339,179.93712370139914
43,-63.79618835449219,24.355464935302734,-0.22566630019018505,0.8614757092721389,3.785693153738976,0,4,2.1451405872509515,179.834463261263
