step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
15,0.75,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.037996061146699615,171.1685448108037
16,0.8,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.026628809049725945,171.1685448108037
17,0.8500000000000001,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.01845146156847501,171.1685448108037
18,0.9,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.01266385987437091,171.1685448108037
19,0.9500000000000001,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.008623885922141965,171.1685448108037
20,1.0,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.005832404829705806,171.1685448108037
21,1.05,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.003921556286700825,171.1685448108037
22,1.1,sturn,192,pure_pursuit,10.0,332.5141296386719,-117.62451934814453,0.9125778675079346,-0.1542163307718068,0.35,0.0,0.0027178747594809407,0.011465132236480807,0,5,0.26630827208072555,171.16778882834427
23,1.1500000000000001,sturn,192,pure_pursuit,10.0,332.55047607421875,-117.62655639648438,0.7927032709121704,-0.1526414799140206,0.35,0.0,0.0391208689431308,0.13133972883224493,0,5,1.0323998573588313,171.15738288647094
24,1.2000000000000002,sturn,192,pure_pursuit,10.0,332.6146545410156,-117.63072967529297,0.589327871799469,-0.1499452814431028,0.35,0.0,0.10343358802862024,0.3347151279449464,0,5,1.4551470152574502,171.13846528899012
25,1.25,sturn,192,pure_pursuit,10.0,332.6953125,-117.63632202148438,0.3386850655078888,-0.14661032935869983,0.35,0.0,0.1842836646778458,0.5853579342365266,0,5,1.7104103014773178,171.11438333931812
26,1.3,sturn,192,pure_pursuit,10.0,332.7867431640625,-117.64286041259766,0.052943672984838486,-0.14279466026343743,0.35,0.0,0.2759464182364644,0.8710993267595769,0,5,1.8945240537540058,171.0869333288958
